"id","date","region","product_id","sales","satisfaction","notes"
1,"2023-01-15","East","P-1001",1500,4,"Good start"
2,"2023-01-16","West","P-1002",2200,5,""
3,"2023-01-17","North","P-1001",1350,3,"Stock issue"
4,"2023-01-18","South","P-1003",3100,5,"Excellent"
5,"2023-01-19","East","P-1002",1800,,""
6,"2023-01-20","West","P-1003",2800,4,""
7,"2023-01-21","North","P-1002",,"2","Damaged item"
8,"2023-01-22","South","P-1001",980,3,""
9,"2023-01-23","East","P-1003",2400,4,""
10,"2023-01-24","West","P-1001",1100,2,"Late delivery"
